"","Row.names","logFC.x","AveExpr.x","t.x","P.Value.x","adj.P.Val.x","B.x","Threshold.x","logFC.y","AveExpr.y","t.y","P.Value.y","adj.P.Val.y","B.y","Threshold.y"
"267","Bcl11b",-0.0352515567302163,8.46781366248322,-0.317375876491278,0.756857255691466,0.870689158995174,-6.28206232728253,"Non-Significant",0.162761974773407,8.46781366248322,1.48167197310914,0.16629050397967,0.334431421579291,-5.56435536880227,"Non-Significant"
"268","Bcr",-0.0131792332662126,8.49290106204977,-0.0894399239376494,0.930328098128229,0.962641020620469,-6.32946671074484,"Non-Significant",0.286898317624422,8.49290106204977,1.96939508699179,0.074412717878428,0.200729232008376,-4.85781033572699,"Non-Significant"
"269","Becn1",0.0679771010704666,8.23058463611319,0.704782376840005,0.495489710550742,0.690117947626253,-6.06357997982548,"Non-Significant",0.0381254742674955,8.23058463611319,0.399318598864634,0.697245494375772,0.817330643739816,-6.5349649957714,"Non-Significant"
"270","Begain",0.0496679053958555,7.05983165488742,0.471135123812577,0.646681644872072,0.798971990065554,-6.11001026735206,"Non-Significant",-0.00906259376330532,7.05983165488742,-0.087458745383955,0.931867064466295,0.964970057971018,-6.52635237177917,"Non-Significant"
"271","Bend6",0.142866389837693,7.23868439864375,1.42551630739691,0.181558216391161,0.387257533152192,-5.27330389202299,"Non-Significant",-0.079613438519246,7.23868439864375,-0.800387125112303,0.440306052822283,0.618161423718907,-6.2138473388577,"Non-Significant"
"272","Bex2",-0.119725130021794,7.73888080713172,-0.925325494594988,0.374505438476582,0.59131289674433,-5.8655493758266,"Non-Significant",-0.329407648678859,7.73888080713172,-2.55295712218484,0.0267147758287999,0.110731423459624,-3.86285141622534,"Non-Significant"
"273","Bex3",0.111303038742757,7.11737277469178,0.521165408529559,0.612505964256813,0.774850055576398,-6.10355458847339,"Non-Significant",-0.299106381832155,7.11737277469178,-1.4083527508146,0.186455276551396,0.356725656126206,-5.5660325487806,"Non-Significant"
"274","Bfar",-0.147850054392199,6.79515238104186,-1.20283503695477,0.254106214029206,0.473849106935747,-5.47928314501425,"Non-Significant",-0.0878425991665814,6.79515238104186,-0.738410029985637,0.475611229613172,0.646649957556763,-6.22408967434301,"Non-Significant"
"275","Bhlhe22",0.338561416290294,7.12860018238662,2.73666759956169,0.019227568106008,0.125410062942646,-3.25801731174379,"Non-Significant",0.262470248691126,7.12860018238662,2.14345657595152,0.055090676401318,0.168501558581338,-4.47729450897076,"Non-Significant"
"276","Bhlhe40",0.296574612874204,7.29371169523408,1.5249595566057,0.155284000309155,0.357876426418175,-5.1372960763173,"Non-Significant",0.262749870209372,7.29371169523408,1.36210809592668,0.200204869869365,0.373284320643637,-5.62340305027245,"Non-Significant"
"277","Bin1",0.1575799418322,8.38773179577211,1.89456900749914,0.0845244309237209,0.255173421196222,-4.69286473050489,"Non-Significant",0.221815559287293,8.38773179577211,2.69166131584005,0.0208432732221402,0.0957730740766478,-3.65459647846173,"Non-Significant"
"278","Birc2",-0.486406964377386,7.10827415546277,-4.36315380993192,0.00111060345450893,0.036481211552342,-0.575918563182007,"Significant",-0.373869932966778,7.10827415546277,-3.45490458610571,0.00532389231282281,0.0458192763811512,-2.27257905446111,"Non-Significant"
"279","Blcap",0.336986294647976,6.94318899625651,4.03857373195043,0.00192403884916134,0.0440837470800256,-1.08107689304574,"Significant",0.246602668729199,6.94318899625651,3.00368415223963,0.0119080976318432,0.0691813024112335,-3.01109869542603,"Non-Significant"
"280","Blmh",-0.0265241452412281,7.51451074215163,-0.186972169137864,0.855061131193341,0.922426726517878,-6.26408581123562,"Non-Significant",-0.120580113309744,7.51451074215163,-0.854717897287423,0.410802434591041,0.593648933995902,-6.19915683567501,"Non-Significant"
"281","Bmpr1a",0.0125913464384668,7.26606891195484,0.107257357925255,0.916501761379379,0.956657403868213,-6.24659290277116,"Non-Significant",-0.0205110318079029,7.26606891195484,-0.176733697973311,0.862905765516748,0.926507399153072,-6.53606901738312,"Non-Significant"
"282","Bmpr2",-0.093290169679106,9.2484088905629,-0.708888543200618,0.49303555078987,0.689334387927457,-6.10742467919839,"Non-Significant",-0.19943864095816,9.2484088905629,-1.51467968192681,0.157839294602257,0.322945152956015,-5.54098262248383,"Non-Significant"
"283","Bod1",0.124426077805527,7.76325666791645,0.985667344553106,0.345325464240995,0.564642541349419,-5.80738801428803,"Non-Significant",-0.0249712182691511,7.76325666791645,-0.198911410393264,0.845934030645103,0.914769508208566,-6.57135661642227,"Non-Significant"
"284","Bpgm",-0.414573354275879,7.0369769784279,-2.91868100306641,0.013869957466588,0.110291115764358,-2.96532579586505,"Non-Significant",-0.437805810699367,7.0369769784279,-3.16291780390046,0.00895320566855495,0.0586915975588518,-2.77480831190313,"Non-Significant"
"285","Brap",-0.203452854138217,8.12830696431164,-2.242224325923,0.0463476921404231,0.188096696695639,-4.14380469223046,"Non-Significant",-0.101901908794318,8.12830696431164,-1.13824391576316,0.27902549050555,0.460441590525334,-5.96419055119661,"Non-Significant"
"286","Brd1",-0.100566765259472,7.61221188361085,-1.20757697341486,0.252348358963573,0.473109544363932,-5.56658468105054,"Non-Significant",0.0213719926618792,7.61221188361085,0.259784076376966,0.799792895356718,0.883552787005731,-6.55185049218755,"Non-Significant"
"287","Bri3bp",0.17246878809193,8.35863741700706,1.89891674822313,0.0839038059348578,0.253940686309283,-4.6842657859712,"Non-Significant",0.226327340333949,8.35863741700706,2.51583320859557,0.0285447268193124,0.115421684965032,-3.95384113706607,"Non-Significant"
"288","Brinp1",0.0372526235775172,9.40666248337817,0.371244061817874,0.717454657852974,0.844925967610518,-6.2952768290619,"Non-Significant",-0.02439027137153,9.40666248337817,-0.242488567777274,0.812830452513743,0.891777967124547,-6.62456628202822,"Non-Significant"
"289","Brinp2",-0.0508240607045352,9.14423516291599,-0.539356908942397,0.600308037805169,0.768254567878837,-6.21361529782385,"Non-Significant",-0.0197064667559541,9.14423516291599,-0.209056125288283,0.838197205321596,0.908214477868444,-6.63235493987689,"Non-Significant"
"290","Brinp3",-0.135539636523468,7.43024970810934,-1.4893208359092,0.164298291936582,0.368756759613546,-5.22013002166295,"Non-Significant",-0.331964330841637,7.43024970810934,-3.66793315513432,0.0036578587139547,0.0375623294451939,-1.91218805614543,"Significant"
"291","Brk1",-0.489591437272238,7.63730856030926,-3.44052179075965,0.00546125833394707,0.0715240161513551,-2.11753837896393,"Significant",-0.639127260582468,7.63730856030926,-4.51257178572722,0.000866294457443002,0.01931996017927,-0.491687099948064,"Significant"
"292","Brsk1",0.0312025914227565,8.82462662474349,0.380384987383755,0.710848928207982,0.840799059499058,-6.28313602476666,"Non-Significant",0.0255740735985164,8.82462662474349,0.312768403927847,0.760263084158082,0.857351589497737,-6.60056776787766,"Non-Significant"
"293","Brsk2",0.0588939181455554,8.4158744596398,0.633721714754396,0.539120605053751,0.724427448062099,-6.12274492113039,"Non-Significant",0.148032994337425,8.4158744596398,1.60871325529395,0.135769738101977,0.292584864860461,-5.38691077847922,"Non-Significant"
"294","Bsdc1",0.157676012725873,7.21489744858549,1.30885208135128,0.217072820585501,0.430808504104899,-5.40921967148301,"Non-Significant",0.0427253444696873,7.21489744858549,0.358016783821777,0.727056092690787,0.835898671452385,-6.47296047223022,"Non-Significant"
"295","Bsg",0.281257984765388,9.29703330714992,3.14774128752497,0.00919956266202229,0.092029573345913,-2.66121606333358,"Significant",0.21827539224009,9.29703330714992,2.43765627042737,0.0328082124370798,0.12387613358903,-4.11270585566582,"Non-Significant"
"296","Btbd1",-0.118289429323797,8.91316411012371,-1.2828892364208,0.225709578297557,0.442123314136327,-5.55217885801508,"Non-Significant",-0.0941797754374356,8.91316411012371,-1.02423298287073,0.327561227396847,0.510062313310082,-6.11864812143487,"Non-Significant"
"297","Btbd10",-0.3391771420888,7.68902642721433,-2.4789592417015,0.0304836305862822,0.154845189071467,-3.74204618017111,"Non-Significant",-0.422571266230513,7.68902642721433,-3.10674530401573,0.00989991692651092,0.0616149397988449,-2.90387178257661,"Non-Significant"
"298","Btbd2",0.259383080826005,7.17976417901662,2.79771441274681,0.0172330669106494,0.121663657278048,-3.15967628421283,"Non-Significant",0.297820508889155,7.17976417901662,3.25004275540307,0.00766288177532338,0.0536946352015083,-2.60189914534413,"Non-Significant"
"299","Bub3",0.130418565978892,6.93203366730223,1.22111406502029,0.247383235316746,0.466056949926128,-5.46902911941635,"Non-Significant",0.181190468787522,6.93203366730223,1.736645150969,0.1101249775767,0.256926690370425,-5.09114980378487,"Non-Significant"
"300","Bzw1",-0.0756738583629541,8.78411410925831,-0.690823348174593,0.503888095406958,0.69909960422122,-6.11182959457545,"Non-Significant",-0.0842046500554918,8.78411410925831,-0.772015227729814,0.45625179223596,0.630203773388199,-6.34241399354703,"Non-Significant"
