"","logFC","AveExpr","t","P.Value","adj.P.Val","B","Threshold"
"Cdk5",0.0353537369783634,7.5945732419178,0.278676038923157,0.785618054765774,0.87443273094877,-6.54496051064318,"Non-Significant"
"Slc12a6",0.0341420048217893,7.66190192675057,0.319267965279177,0.755452836718157,0.855796403016592,-6.54567061250882,"Non-Significant"
"Ankrd13c",-0.0383645857761472,8.09487593096637,-0.375013319467874,0.714719074754116,0.82871280815981,-6.54670515117135,"Non-Significant"
"Adra2c",-0.0341725528606833,7.84813541335317,-0.34504391400719,0.736512595132169,0.842537688920952,-6.54674900916318,"Non-Significant"
"Rab12",-0.0274653402861498,7.5675444153334,-0.260734852095086,0.79907207235876,0.882439179289385,-6.54736384772835,"Non-Significant"
"Bbs1",0.0141611462683571,7.19194015274592,0.143354541631409,0.888580169487538,0.945418233566796,-6.5479991099911,"Non-Significant"
"Nfe2l1",0.0358424854755874,9.78089141680203,0.464560869129202,0.651227644253594,0.783110745986136,-6.54924458191127,"Non-Significant"
"Iqsec2",0.0525743597650585,8.33499939935106,0.398508698073129,0.697815806049001,0.81926818439247,-6.54983724078259,"Non-Significant"
"Ambra1",-0.0225140286607628,7.49956646032854,-0.250327203116623,0.806908329362191,0.888528168598663,-6.5503030815426,"Non-Significant"
"Mex3c",0.0170049838740631,7.39770436865534,0.208315752760439,0.838756576819374,0.909388709604163,-6.55039637959736,"Non-Significant"
"Prkce",0.0563948718516052,10.385014166819,0.434940616266213,0.67194311255498,0.79843194552554,-6.55170737461745,"Non-Significant"
"Cds1",0.0294392643506027,7.67498682055358,0.293496031812448,0.774559191278614,0.867532210056097,-6.55194009908662,"Non-Significant"
"Usf1",-0.0198717920480993,7.36559519093586,-0.172966119598084,0.865792526299036,0.92953890595996,-6.55262602361994,"Non-Significant"
"Nf2",-0.0263678625133572,7.81419066466751,-0.310450121099706,0.761971634576108,0.860269830267629,-6.55400756253017,"Non-Significant"
"Asap1",0.057965804030462,7.93210346890434,0.332930679188048,0.745391621060248,0.849429260084827,-6.55425917545791,"Non-Significant"
"Phrf1",-0.00135465716455929,7.16448931967992,-0.0122229556637297,0.990464714332475,0.996043749523984,-6.55431230257564,"Non-Significant"
"Mtss1l",-0.0548232933677886,7.62468152601262,-0.259660939366527,0.799879605977694,0.882603042772256,-6.55474226337151,"Non-Significant"
"Arf6",-0.00321704926478716,7.27297114039195,-0.0331200751635462,0.974167048440486,0.989688678195608,-6.55482589665252,"Non-Significant"
"Rcan2",0.0314792206006906,8.08283124926183,0.345223190022614,0.736381482396206,0.842537688920952,-6.55494501624699,"Non-Significant"
"Adgrb2",0.0533868810619076,10.3153587996807,0.427475500654071,0.677210008727704,0.802463895297696,-6.55590138348431,"Non-Significant"
"Chmp1a",0.0451130340013037,8.21157088902189,0.357973269654848,0.727079441526848,0.836391213234063,-6.55613049555119,"Non-Significant"
"Gabra3",-0.00240606601247517,7.28957292080493,-0.0289691769036746,0.977403602617275,0.989803049453903,-6.55633810621025,"Non-Significant"
"Os9",0.0409145930482282,8.19523075904067,0.358979927272629,0.726346943219204,0.836267030929075,-6.55665055252898,"Non-Significant"
"Cul1",-0.036751675500053,8.65338825785913,-0.435026300896501,0.671882764853521,0.79843194552554,-6.55666740977181,"Non-Significant"
"Uspl1",0.00333644314260528,7.2890989543942,0.0410612017214988,0.967976565888933,0.984520031694099,-6.55698845415154,"Non-Significant"
"Lsamp",-0.038833687628621,8.99583642628119,-0.449957518806891,0.66140383881499,0.78967431134487,-6.55732362084662,"Non-Significant"
"Git1",0.0546064285770278,9.08669950934645,0.448499069601159,0.662424118334682,0.790540012878912,-6.55755400113156,"Non-Significant"
"Brd1",0.0219415097861315,7.62324957170786,0.26646134220689,0.794770169802724,0.879952939994885,-6.55784331818028,"Non-Significant"
"Wdr13",-0.0339937407131021,9.51249381555689,-0.450010156203382,0.661367028939676,0.78967431134487,-6.5579193805863,"Non-Significant"
"Pcyox1",0.038505025613107,8.20335142896861,0.348483827725648,0.733998360094731,0.840738925720141,-6.55807361416743,"Non-Significant"
"Ptprg",0.0473768222075721,7.77885218067838,0.293799679007826,0.774333140655314,0.867532210056097,-6.55883856185814,"Non-Significant"
"Sdcbp",-0.0481712417422884,8.4517553539355,-0.400167819979388,0.696628488244067,0.818951313221076,-6.55950367258,"Non-Significant"
"Asphd2",0.031727090420901,8.40622074146733,0.379779331904741,0.711276972701055,0.826735995179439,-6.55992010448424,"Non-Significant"
"Nrip1",-0.00892366747212314,7.32773509526974,-0.0610460165134318,0.952408143026237,0.974466936898105,-6.56235940412348,"Non-Significant"
"Trappc8",-0.0253207289232407,7.68626163214538,-0.269987594706087,0.792124673874026,0.878389182871488,-6.56238238150598,"Non-Significant"
"Kcnk1",0.041745204574374,8.37684211075894,0.38193420829475,0.709722875956698,0.825646334410094,-6.56255762230749,"Non-Significant"
"Smim7",-0.0423029372394286,8.31301160968196,-0.366481978306092,0.720897074231315,0.832497785593558,-6.56269803751562,"Non-Significant"
"Mkl2",0.0490298967040257,9.38908636976822,0.437369736665768,0.670233218510716,0.797726470742977,-6.56272270200082,"Non-Significant"
"Pde8b",-0.034275482554305,8.17916279208507,-0.34919746268144,0.733477169760605,0.84050143800552,-6.56292841700633,"Non-Significant"
"Arid1a",0.0454214300667726,7.77238498017301,0.276069125541107,0.787568558461332,0.874785814831791,-6.56306715113839,"Non-Significant"
"Dscam",-0.0452578172755027,7.92393784745835,-0.309781578657844,0.762466663974984,0.860465961283188,-6.56352479193365,"Non-Significant"
"Gatad1",0.0144792415463506,7.50141495459931,0.153054365535492,0.881103002051377,0.939328757760186,-6.56423856203534,"Non-Significant"
"Trpc4ap",0.0405797510985177,8.47631243514723,0.388945777357872,0.704675685596017,0.823351433693775,-6.56437899189741,"Non-Significant"
"Fbxl19",-0.0482336224372446,8.5679860082774,-0.413933617047005,0.686810189594858,0.810611585603803,-6.56507591358867,"Non-Significant"
"Ankrd50",-0.0528290293709546,8.84438299979689,-0.432828825433104,0.673431208191587,0.799558526691806,-6.56533184146937,"Non-Significant"
"Snx1",0.0268028843913264,7.57623851886225,0.224453334235365,0.826483804556156,0.901557486192011,-6.56573675253486,"Non-Significant"
"Tenm3",-0.0599416280674259,8.87503523213418,-0.42861735797288,0.676403213317839,0.801862684933675,-6.5666126741043,"Non-Significant"
"Dnajc10",0.0130696886374659,7.56038173264075,0.163884765988063,0.872768613864873,0.933789192141482,-6.56688873109578,"Non-Significant"
"Rps6kc1",0.022541084140232,7.95132319446293,0.301213528288514,0.768820705712884,0.863633326299959,-6.56712913651582,"Non-Significant"
