"","logFC","AveExpr","t","P.Value","adj.P.Val","B","Threshold"
"Scd2",0.270267500102811,10.680581610323,2.41381727761843,0.0342020188724491,0.165357546013679,-3.9007282536227,"Non-Significant"
"Dmwd",0.261824337921634,7.3785637741357,2.3618858244662,0.0375023399963343,0.171677378649886,-3.901162580439,"Non-Significant"
"Sec23a",0.21749026892071,8.11769543767206,2.38810000033186,0.0357995666390097,0.169683609662421,-3.90711774495731,"Non-Significant"
"Ppp1r1b",0.346364654006411,8.61483724547947,2.40206495595191,0.034923293652345,0.166428899437064,-3.91304627529142,"Non-Significant"
"Nell2",0.176652861405227,10.6883547944003,2.40397262378719,0.0348052187384292,0.166428899437064,-3.91763335979263,"Non-Significant"
"Fam217b",0.22735038512991,7.41524713511828,2.35668270731024,0.0378495158648463,0.172722295497811,-3.92557867102249,"Non-Significant"
"Hist1h2ah",-0.33846523876139,6.88410993248708,-2.33019683766549,0.0396654724536704,0.176745649302711,-3.92713189639085,"Non-Significant"
"Aktip",-0.273685968920097,8.12777675044421,-2.38204285365648,0.0361862347692863,0.170339459308693,-3.92780674727306,"Non-Significant"
"Kifc2",0.214795398512905,9.71243069984937,2.40201399612947,0.0349264531305564,0.166428899437064,-3.93212015419975,"Non-Significant"
"Bbs1",-0.236058344997502,7.19194015274592,-2.33629327620518,0.0392401719284796,0.176064197358474,-3.9359635146022,"Non-Significant"
"Akt1",0.193183096043011,8.40686583268935,2.38153693543592,0.0362187134162952,0.170339459308693,-3.93691330439469,"Non-Significant"
"Nudcd3",0.197123843929846,8.20236987172795,2.36857761223967,0.037060359504232,0.170528595794387,-3.94633343812764,"Non-Significant"
"Mid1ip1",0.310207746851836,7.87186755025089,2.35617620076832,0.0378834778290667,0.172722295497811,-3.94958534776503,"Non-Significant"
"Slc38a10",0.229056758327621,7.5812555780105,2.3424304575078,0.0388164766040495,0.175946024718671,-3.9546799069639,"Non-Significant"
"Nr3c2",0.244298345150929,7.09825598251854,2.30995909479589,0.041109408389618,0.178429490546835,-3.96143358471038,"Non-Significant"
"Synj2",-0.433822989467915,8.9551332935654,-2.37835288898693,0.0364237701242053,0.170476679525728,-3.9634009802054,"Non-Significant"
"Dnajc10",0.18693314395691,7.56038173264075,2.33727687203984,0.0391719678155196,0.176064197358474,-3.96683784876749,"Non-Significant"
"Phtf1",-0.188058812987898,7.47636321341843,-2.33487792614671,0.0393385157500578,0.176064197358474,-3.96702206785607,"Non-Significant"
"Apbb1",0.205936265433307,10.293405138358,2.37754229322816,0.0364761528634213,0.170476679525728,-3.96800753450971,"Non-Significant"
"Snw1",-0.357813539905385,7.43209482357069,-2.33453883192111,0.0393621125865694,0.176064197358474,-3.97065770454351,"Non-Significant"
"Hivep2",-0.363670163729783,10.5425758264829,-2.36978554094352,0.0369811168938791,0.170528595794387,-3.97841704066122,"Non-Significant"
"Sv2a",0.181622082860786,9.64007164736626,2.37221453883676,0.0368222658311425,0.170528595794387,-3.98137960845431,"Non-Significant"
"Ptpro",0.405347338822723,6.63556076376353,2.25514677582882,0.0452786898573089,0.186382685147198,-3.98229849374393,"Non-Significant"
"Ankrd17",-0.237860328529392,8.9526774133201,-2.3687288168476,0.0370504311793836,0.170528595794387,-3.9833825694032,"Non-Significant"
"Hist1h2ac",-0.330166561106857,6.900390350534,-2.29358903016312,0.0423143023259358,0.181715659013566,-3.98802370402693,"Non-Significant"
"Prkar2a",0.207967849002478,7.29015415425159,2.30284921088433,0.0416286079713798,0.17951918220186,-3.9892798296584,"Non-Significant"
"Adap1",0.174927119674456,9.18747515587138,2.36600249489335,0.0372298414795881,0.170842513970316,-3.98945859284741,"Non-Significant"
"Cep19",-0.274905494025498,7.45337373632283,-2.322462998801,0.0402114036871702,0.177123910921556,-3.9896448850946,"Non-Significant"
"Ly6h",0.402795602027884,7.88236046808519,2.33332352377483,0.0394467955246767,0.176064197358474,-3.98999769461594,"Non-Significant"
"Ank",0.231047412122837,8.26922175103943,2.34000357932287,0.0389834913997317,0.176050236034539,-3.99104609634464,"Non-Significant"
"Tmem64",0.212125347767432,6.99543284415326,2.28383734192722,0.0430481294195224,0.182623956980433,-3.99194130680298,"Non-Significant"
"Pde7b",-0.221094019718519,6.99834233222658,-2.28614265776361,0.0428735552736612,0.182623956980433,-3.99220267312015,"Non-Significant"
"Map2k2",0.200257240358913,6.74837760188847,2.26607871523736,0.0444160082848916,0.184698866749906,-3.99258831721529,"Non-Significant"
"Cdv3",-0.206781541450992,8.23126519572897,-2.34129232975299,0.0388947149490117,0.175946024718671,-4.00014698039589,"Non-Significant"
"Kcna4",-0.186781920519339,7.38085337314999,-2.31212520358094,0.0409524713816186,0.178326371317032,-4.00304509437828,"Non-Significant"
"Eif5a",0.257452789274533,7.84362572412107,2.32243567898867,0.0402133449739755,0.177123910921556,-4.00808317334506,"Non-Significant"
"Tprgl",0.224835675568171,8.63782402230441,2.34362836655488,0.0387342928934324,0.175946024718671,-4.00987502799465,"Non-Significant"
"Ftl1",0.254542345079507,7.05841005369264,2.27982186518053,0.0433538407299604,0.182993464694646,-4.01095234579898,"Non-Significant"
"Tm9sf2",0.173779480814378,8.07639699733477,2.32303063515416,0.0401710891107742,0.177123910921556,-4.012193481464,"Non-Significant"
"Fam110b",0.2361791588762,7.12388736136145,2.27703411577588,0.0435673064931751,0.183044535402789,-4.01260602674908,"Non-Significant"
