"","SAL_WT","SAL_KO","RO_WT","RO_KO","RO_RAP_WT","RO_RAP_KO"
"Lrrn3",2019.80996155313,1164.508921627,1769.88564469459,1450.5592442831,2217.62077121175,785.715151472163
"Gna11",2017.91025507338,1636.20488933986,1649.64241507427,1634.92288923995,2010.0220169126,1170.95256256223
"R3hdm4",2017.80408758448,1798.96392878511,1342.36469649039,1774.06526279229,1589.62981602131,1187.51795914124
"Rpl21",2017.63908755501,1174.7707022769,2267.76617168977,2087.13560328504,1680.2105558899,789.08578727149
"Poldip3",2014.9334490366,1683.95295673919,1672.26842392894,2041.91433188053,1970.67001006866,1128.78580856652
"Vopp1",2012.29921677657,1752.5328811465,2086.8569413209,2518.47696129728,2159.91998625249,1226.52467404709
"Rab12",2010.49240689167,1586.16010660895,1746.93668745161,1840.15789022964,1833.72409009896,1037.7632622929
"Drosha",2010.47904741414,1480.82138461746,1978.51334992538,1436.64500692787,2396.09534492495,913.862745315785
"Dnajc10",2010.28528755081,1481.58343384953,1698.11272745494,1607.09441452948,1852.97272006922,1020.66834617285
"Rgs12",2008.96587472102,1218.92501360897,1614.81003204025,1050.52492032014,2302.46283784957,808.96580908316
"Ranbp6",2008.73026219814,1610.53676400016,2427.05870184881,2320.1990789852,2364.72244723742,929.091939557075
"Nploc4",2008.37090877016,1625.68305561386,1888.87604184491,1579.26593981901,2052.63838175349,1102.46578354699
"Hist1h4i",2007.92667091946,1477.18536912122,2683.7872147467,2549.78399534656,1706.94441481996,697.557034416442
"Sec31a",2005.54481837735,1668.98318785063,1984.86417178127,1697.5369573385,2312.17322240645,1107.64082889754
"Emc7",2005.50346788004,1591.57086345964,2122.44916072272,2031.47865386411,1794.97870340839,1063.40452969573
"Grid1",2005.06742455939,1501.41647463064,1889.39100859293,1460.99492229953,2163.98360912219,1038.83561316195
"Cdk5",2004.92360995747,1565.18528042478,1749.66406516947,1596.65873651306,1951.7561926592,1012.18288935071
"Ssu72",2003.21644954458,1186.57466642046,2173.13612584057,1175.75305651724,1887.7339032914,742.124387877223
"Parg",2003.08626128472,1669.66393314256,2326.11249676905,1471.43060031595,2315.52940769329,920.197128569866
"Junb",2000.78593749992,1380.11364049952,1928.69349472805,1380.98805750694,2097.8152382815,923.541201262216
"Glrx3",2000.72699134977,1470.37216187808,2091.0770556982,1714.92975403254,1973.1959740713,873.47425380127
"Ajap1",2000.47990577193,1009.40689719887,2137.73626488978,904.425428090185,2083.08281763186,714.506546883936
"Palm",2000.23263025735,1668.17775341588,1534.79134533813,1624.48721122352,1869.76171856545,1096.76704351177
"Ube2z",2000.19516192514,1545.29782000853,1755.52482660997,1742.75822874301,1925.86460044212,1105.98555947143
"X1500009C09Rik",1999.94424332015,1200.9837602348,1935.59647915694,1471.43060031595,1617.7526098355,728.421800098838
"Dnajb1",1998.89812595802,1323.87524967822,2053.77966641913,1454.03780362191,2617.89965229667,936.98849974361
"Fbxo44",1998.74166475071,1392.90416696848,1556.60216286563,1280.10983668149,1901.80996331055,1002.68903475381
"Tmem246",1997.75249844633,1249.87901788477,1783.81437498212,1092.26763238584,1944.71612842134,887.170213262347
"Epha7",1997.4308009738,1658.71538274983,1945.94241520401,2066.26424725219,1895.5306680197,1118.8614379924
"Esrra",1995.94973828909,1622.10713498143,1903.25179809318,1627.96577056233,2306.87462982589,1006.71388703229
"X1700025G04Rik",1995.35695306494,1728.69753192602,2253.49151252745,2716.75484360936,1933.76069138313,1268.10373760831
"Jade2",1994.27331274178,1285.70024568676,2050.77473260124,1534.04466841451,2419.64106060049,1043.77834004458
"Usp4",1994.21841711981,1721.03255537856,1926.24988127563,1721.88687271016,2160.24236191057,1066.17927904016
"Klhl22",1992.97030676878,1416.26530825925,1759.5133831685,1450.5592442831,1934.81224619852,930.549685756799
"Rpl32",1992.72008916754,1332.11264758042,2137.49864193856,1749.71534742063,1791.83368732483,755.834438328103
"Metrn",1992.66537720378,1685.13818933332,1740.6922982263,890.511190734951,1648.00802909336,749.539759837066
"Cux1",1991.83084941759,1635.16733929863,2021.65579821046,1972.34314510436,1822.31446274606,1075.28798329435
"Rrn3",1991.06219446129,1465.98724397368,1927.6824466547,1568.83026180259,2310.18730450236,1013.96550316575
"Slc38a10",1989.30274597575,1548.63254516641,1634.1300532059,1551.43746510855,2043.77026890332,1094.35308901017
"Cep170",1988.51013668335,1657.56873614622,2148.63190418465,2428.03441848826,2168.2810793676,960.853474633758
"Cacul1",1987.37953744603,1341.08886673394,2176.42636860415,1892.33628031177,2178.99693269449,1052.56465378938
"Hif1a",1985.11288433494,1629.94542441018,1624.61040270947,1794.93661882514,1931.43368948892,930.125951841741
"Park7",1984.91006552731,1357.06631713847,2085.58635272631,1645.35856725637,1654.36079288103,762.731108139214
"Ctsl",1984.79763421717,1510.51830244395,1961.28365134871,1631.44432990114,1900.38929062908,906.41662721609
"Rptor",1984.64165453648,1759.61120164956,2024.14394830679,1913.20763634462,2269.79714634184,1228.89821135383
"Hace1",1981.21585352721,1750.63478435326,2054.87833033623,1481.86627833238,2209.74492395595,995.645037770546
"Evi5",1980.58839387981,1581.4556141983,2251.32175065311,2410.64162179422,1792.19518570331,899.131603221164
"Ndel1",1980.00661357822,1650.00090566827,1946.64921337148,2247.14933287023,2108.8894239572,1147.57560820324
"Insig1",1978.97124069018,1405.53877311182,1785.23218170092,1770.58670345348,1605.55673924981,1010.82189311015
"Rrp7a",1978.81833812901,1291.57054907314,1745.77693242649,1770.58670345348,2079.35146518248,1008.8357083051
"Rorb",1977.76356009337,1434.98266762708,1982.87420835978,2386.29170642256,1624.24271968017,1006.5196872269
"B4galnt4",1977.1736346124,1618.79502322178,1640.83175082254,1321.85254874719,1874.89876145842,1096.40398674087
"Hars",1975.81137012621,1513.36058188216,1906.63339275752,1593.18017717425,1904.91261872957,950.02527333103
"Stoml1",1975.7448184412,1623.82595129334,1736.68026553315,1544.48034643093,1755.43233253631,991.114715743231
"Smim10l1",1975.0356471036,1307.54480732707,1806.38695058619,2041.91433188053,1936.83606005212,994.422463591935
"Tsc2",1973.24232079872,1472.09009008747,1724.96503166212,1367.0738201517,2260.21404408317,1040.57325723255
"Ube2q1",1972.81777962316,1621.20201459403,1770.39863477489,1617.53009254591,2159.39082051467,1122.00356228943
"Tmcc1",1971.80965986951,1717.49497039305,2031.48860753588,1861.0292462625,1969.34238680804,1132.45426044291
"Noc2l",1967.33957111589,1681.8953045448,1961.7923263099,1568.83026180259,2424.91993215787,1109.00777065851
"Nr2f1",1966.89129119151,1305.21124222661,1787.44706220974,1318.37398940838,1626.80964641206,829.583161408497
"Pomgnt1",1964.37149224984,1396.49009844711,1735.20073038573,1099.22475106345,1798.12675370904,921.14028603082
"Pcsk1n",1963.19593967084,1204.0883630843,1476.82626851769,1231.41000593817,1871.35217502213,1033.29905259336
"Zzz3",1962.67420683237,1662.74517594634,2537.60280458941,1687.10127932208,2112.894103852,1052.46709221191
"Rfx3",1962.39601649581,1455.62792573548,2172.70252752356,2615.87662278392,1752.930276275,848.684155323627
"Lgi3",1962.39429908645,1643.78592281461,1954.1814096995,1474.90915965476,1877.84563033817,1090.97136738045
"Wrnip1",1961.7673382369,1538.30997990124,2005.09836715725,1784.50094080871,2239.11062593146,994.862526974732
"Ehd3",1961.66648890094,1453.60116879156,1619.29822490976,1627.96577056233,2175.60484946782,1090.72195828276
"Sdc4",1960.92528248095,1660.60544179501,1468.45715300964,1186.18873453367,1725.135630873,1085.96094541154
"Synrg",1960.36344829745,1460.18965815734,1938.96781166667,1714.92975403254,1968.39800533297,977.797536339552
"Rps13",1959.95249591933,1136.25489134921,2511.50085500485,1495.78051568761,1614.34046995717,615.551836834647
"Keap1",1959.75936383375,1605.1148049399,1772.47231063253,1474.90915965476,1863.47034162721,1099.03950603237
"Sik3",1958.33821839434,1683.04085532383,1738.23210688588,1485.34483767119,2223.88128416209,1170.38245948881
"Cds1",1958.24663928753,1671.58533120362,1946.73121498572,1840.15789022964,2117.82619300883,1240.79242035652
"Stk39",1957.78535862285,1458.52182872814,1820.89021018812,1812.32941551918,1735.26543252769,891.979514626328
"Arpc3",1955.00737007868,1412.76287300214,2001.04734650587,1478.38771899357,1853.59429551242,845.670214633974
"Sipa1l2",1953.23942513063,1462.06051079528,2213.53595179052,1582.74449915782,2556.78341479315,971.962309546666
"Pptc7",1952.69030892712,1574.82669285958,1928.97406489777,1683.62271998327,2228.78118271365,1238.58770010778
"Cipc",1952.17577722457,1251.28945917762,1761.80393986704,1725.36543204897,1623.31133302305,925.894836399591
"Plxnc1",1952.00091764518,1346.20328521886,1517.28471048293,1266.19559932626,2322.42111811657,934.715427177068
"Rnf41",1951.65986073626,1486.67161385654,1710.06670666108,1554.91602444736,2171.14621310025,1101.92494222428
"Lasp1",1951.18545749279,1502.46182659223,1671.9237018973,1836.67933089084,2058.1029946865,1262.08188356043
"Wars",1950.52002312367,1432.60850549895,1627.45840219561,1467.95204097715,2187.7498760944,1086.29130682412
"Sgsm1",1950.49387150213,1752.4323339473,1905.29013009756,2271.49924824189,2968.11304334749,1168.23033856513
"Psmb6",1949.76552364819,1396.03204276451,2061.33746314679,1582.74449915782,1661.34913497177,771.153987819067
"Kat6b",1945.64751045869,1511.54796461269,2042.12383400391,1902.7719583282,1621.46133519193,877.707706693872
"Cdh22",1943.68482334676,1192.30534517091,1907.12506842806,786.154410570699,2295.26235205097,712.551429147875
"Cacnb1",1943.45970725617,1488.57053342406,1637.13004097569,1586.22305849663,2423.46071356619,1190.88950538874
"Tnks1bp1",1943.25523972521,1427.18937664884,2053.26170168413,1648.83712659518,2225.4113034013,1053.58281294419
"Ppib",1941.70088145828,1378.98858721758,1772.66942729766,1561.87314312497,1782.13298990442,810.99732644189
"Cyc1",1939.60836278528,1457.05782779702,1642.62486431843,1408.8165322174,1677.84690161802,862.526716314954
"Cyb561",1939.11791077211,1478.6119608251,1691.17137436668,1648.83712659518,1906.01641824666,1042.68102507046
"Bnip3",1934.3756140193,1557.72788356045,1768.83929892953,2167.14246807763,1805.82662512199,1073.72262589961
"Nadk",1933.9883577176,1124.45940327438,1900.01075462084,1224.45288726056,2093.94038502681,779.522140975806
"Nell1",1933.76388173625,1415.47754796837,1638.67589196412,1137.48890379035,1857.81235197112,898.246967820873
"Gucy1a3",1933.20991228533,1351.85995824007,1703.50562112022,1575.78738048021,1758.96236811486,954.877795937427
"Btbd10",1933.06990563496,1645.01333615169,2350.49756468563,2480.21280857039,1881.89148326927,936.225853672354
"Rhou",1932.17887035943,1554.12304349069,1913.51504438384,1370.55237949051,1757.63888463799,1050.89108791241
"Hist2h2aa2",1931.38904593369,1347.10904102095,2124.11713980608,1718.40831337135,1741.92465472743,722.731224904474
"Slc35e1",1930.73681662439,1594.06426266457,1693.75591551696,2034.95721320292,2035.41046375779,1294.81129447853
"Hadhb",1930.31101396506,1513.00666727964,2091.54672153148,1440.12356626668,2069.53557587766,984.410189840505
"Tle4",1926.96329403744,1577.25659879338,1841.79442690342,2052.35000989696,2222.13843358119,1076.00155151667
"Tlk1",1926.22328122855,1385.25491392676,2024.81272586575,2184.53526477168,1722.89190202502,871.822899064659
"Sccpdh",1924.94424681337,1569.25118453099,2023.19091308848,1537.52322775331,1896.2545586649,864.752549502978
"Tmem158",1924.751057923,1132.88795346474,1492.6571986341,1506.21619370404,1948.56775095089,780.236987270888
"Rps23",1923.88864308368,890.428358903537,3266.01581609458,2911.55416658263,1414.3330737162,386.925992604504
"Snx10",1923.66428625226,1472.21642535055,1792.12810970108,2671.53357220485,1761.60490303295,1015.71659941545
"Slc38a2",1922.78497835202,1639.31955255981,1770.29573271663,1749.71534742063,1980.27997003204,1217.11514936442
"Msmo1",1921.9254481316,1339.84709981477,1918.2969111141,1617.53009254591,1857.20575936237,987.382571861273
"Pex6",1921.89468431343,1145.84075440312,1784.86269553175,1478.38771899357,2171.85390622727,695.06686941451
"Clec16a",1920.86133692103,1494.36705838576,2098.87965005435,1457.51636296072,2296.10375934484,1005.55787064849
"Spast",1917.93942162884,1491.50773356973,2019.1027463884,2045.39289121934,2216.26411617105,1059.44169489854
"Cnst",1917.57577873553,1585.71179599572,1843.48909235573,1262.71703998745,2098.54027521656,996.839070502325
"Otud5",1916.82522997363,1578.55227687887,1731.29819243755,1408.8165322174,2073.39469538068,1058.27079008272
"Mpnd",1916.2978991984,1544.15126103802,1747.30719682317,1307.93831139196,1621.0568933889,858.515183386814
"Ilf2",1915.35191691178,1642.63650656971,1882.80275439671,1746.23678808182,1932.39335896756,1007.69563059963
"Tox4",1914.09352071367,1553.15363642794,1833.88886908257,1861.0292462625,2271.53098021319,1057.52786665661
"Zfp664",1913.64164751265,1461.64628863188,1991.93749146222,1704.49407601612,1664.03242158945,810.481918949405
"Fam84a",1912.72555433689,1392.36695842509,1597.80963121383,1457.51636296072,2339.20307707791,1195.64521847171
"Ssbp3",1912.00012298142,1361.37208903899,1585.38256730747,1196.62441255009,2080.74873573163,1054.35940799716
"Osbp",1911.13794933042,1483.17424731375,1781.50321093146,1749.71534742063,1782.79379987564,967.093922453667
"Unc5d",1910.61885873411,1403.52663950621,1882.23236069802,2438.47009650469,1596.624250813,961.496602083141
"Atf2",1909.64547158396,1648.93195127555,1802.35141592868,3311.5884905456,1751.33496142792,1101.01174192702
"Fam32a",1909.57938749306,1407.9456616718,1940.93109930405,1610.57297386829,1878.48410203657,921.513737226493
"Gatad1",1909.31586377949,1271.63982438365,1652.88125207656,1210.53864990532,1776.71729752588,884.239897190516
"Dusp6",1907.97064620982,1236.51462810739,1688.66515200101,1241.8456839546,2146.2740428881,927.460554987613
"Edem3",1907.30308244077,1700.17421845771,1992.10209334251,2459.34145253754,1986.86782856782,1114.61523444713
"Zcchc17",1904.22009638373,1557.25515836985,2098.51562308052,1631.44432990114,1810.72904083394,830.680959190578
"Cyth2",1903.71149595403,1504.48207411783,1658.10622469873,1572.3088211414,2026.94609984032,980.356378604931
"Ate1",1902.85649910152,1628.79961722533,1872.22251644437,2445.42721518231,1799.39211558818,1017.25946668298
"Cdh2",1902.07718985562,1552.12319813167,1665.96955430408,1864.5078056013,1948.86260809244,1024.31315083116
"Zmym4",1901.91451469035,1454.87070666029,1863.2416069536,1405.33797287859,1943.96957471666,960.264439997425
"Stx7",1900.25407688071,1645.43639549117,1515.13026935452,1627.96577056233,1861.43798191828,1146.99856889484
"Eftud2",1899.43008648533,1548.78556659907,1777.48634667243,1426.20932891145,1956.727911726,902.044072601835
"Pde4d",1897.63610337494,1372.54512943283,1948.18146502074,1854.07212758488,1846.44316199487,935.553969004292
"Strip2",1891.24233920998,1560.04440454013,1992.0719336703,1582.74449915782,1727.17526932129,875.594128555712
"Fam169a",1889.6647803881,1675.10261850842,1885.95015000787,2125.39975601193,1790.72387826908,1046.0060719714
"Pds5a",1889.23539421974,1695.94080239504,2077.42274321178,1777.54382213109,2109.83579736609,994.802685564353
"Ufc1",1888.30557778864,1247.35791620481,2094.02706376732,1273.15271800388,1586.80178770776,662.396720446384
"Acat1",1886.29208845517,1454.9256464337,1840.67453025896,1582.74449915782,1920.20522443376,949.085260646173
"Cul3",1886.12123005328,1535.74613534335,2185.66528782029,3708.14425516976,1700.03167360352,962.747906545617
"Hrh3",1885.5329504072,1499.09121907887,1407.27454804293,963.560936849927,1767.49398773398,1126.745258289
"Immt",1884.09842607973,1598.24089134359,1667.31786910788,1478.38771899357,1835.08328839013,959.987643344402
"Armcx3",1882.67178924692,1455.36930482549,1881.71719364798,1982.77882312079,1817.65794630187,925.785019213453
"Zeb1",1882.58805067279,1379.14125503203,2031.37202445605,1502.73763436523,1919.4229034918,953.589555634726
"Chtf8",1881.32765107815,993.236335754069,1761.16976682651,1029.65356428729,2342.91067979607,778.319924031714
"Fam217b",1880.39711979881,1307.8037214947,1563.90691896886,1450.5592442831,1599.65121050495,948.319688065941
"Drg1",1879.59410827316,1488.43396749936,1979.49858708332,1934.07899237747,1976.56787591217,933.363098907405
"Trappc8",1879.04490070954,1547.47281565495,2032.43131002468,1534.04466841451,2163.12854181068,897.940695822706
"Phgdh",1875.75699139583,1223.27090548277,1588.35182085138,1297.50263337553,1748.27293857967,840.558692488743
"Mrpl48",1874.35294622532,1575.83933692304,2252.21026672798,1541.00178709212,1799.57555584184,947.404492520087
"Lancl2",1874.15559038394,1351.69957446478,1608.41524531722,1718.40831337135,1734.94178708164,977.172720633794
"Phf3",1874.10845836684,1537.05956583481,2100.68246865029,1996.69306047602,2005.16277165935,962.735813195796
"Mesdc1",1873.53606407995,1514.37786984482,1505.7042191972,1123.57466643511,2214.623958869,1123.4244596707
"Ppp5c",1871.92270083248,1491.80155582253,1575.3234120572,1294.02407403673,1827.95888723728,941.6535040183
"Dstn",1869.39479820823,1294.96300798759,1826.31624815085,2156.70679006121,1486.14886242526,852.217355969667
"Hagh",1866.17608335998,1440.39668656822,1922.38006396805,1429.68788825025,1935.31310204075,854.514325771565
"Osbp2",1865.47810331741,1390.82985133578,1552.90906989528,1662.75136395042,1774.71351228447,1029.36699058554
"Dlat",1865.26161537064,1396.01852007067,1506.88548338035,1523.60899039808,1874.26705825042,978.725155343685
"Sytl2",1864.95260336122,1355.14835454483,2155.33849980468,1081.83195436941,1394.44700446369,864.992072335252
"Cycs",1864.08143238575,1294.93181759024,2921.43222055959,3130.70340492756,1620.02904574889,769.041336372487
"Drp2",1863.90364240106,1554.91153913102,1733.48912007907,1829.72221221322,1887.93587792398,1006.76775176612
"Elfn2",1862.921242093,1266.14643486381,1985.69641772913,1374.03093882932,2036.53064795264,1012.23849611649
"Ranbp3",1861.20226695928,1355.49337098586,1529.92145886058,1311.41687073077,1933.13426059962,884.660604673444
"Letm1",1860.11305351273,1644.85371437354,1830.57714299068,1871.46492427892,1949.51244210898,952.196751105204
"Strip1",1858.93728752242,1372.38909650738,1633.34307678932,1203.58153122771,2087.33482898963,935.036751449519
"Ptch1",1857.80968512526,1381.51430364232,1936.12251204449,987.910852221586,1752.98123118379,875.135474299785
"Lmo3",1857.40585829406,1227.48267786641,1279.84972472419,2048.87145055815,1719.87222703154,1061.5231403961
"Blmh",1857.13347645378,1648.81155927063,1790.74487611724,1547.95890576974,1791.38715381707,899.50114127197
"Rpl10a",1857.12121907689,939.539722461815,1732.77426900392,1200.1029718889,1807.40702978101,710.713536212809
"Hist1h4f",1854.96429275098,1312.71220222905,2434.97409622838,2476.73424923158,1556.94117457405,641.529604371478
"Crym",1854.89868398336,1358.38946772521,1692.59093439835,1624.48721122352,2011.17655858364,1094.76383280404
"Nol6",1853.54251353036,1406.06073604434,1531.8494432525,1405.33797287859,1897.07909690368,984.607867311033
"Flrt2",1851.77427612959,1361.40880290755,1956.6753268053,2622.83374146154,1631.38283299919,1009.3133580756
"Pex19",1849.04380414065,1263.9427499621,1496.48641964257,1273.15271800388,1674.47998580143,920.616338058173
"Ppa1",1848.03664517625,1327.8475428557,2098.14565184806,1742.75822874301,1805.3254426512,768.076805192241
"Cops4",1847.74838919504,1256.30381641902,2376.28961649711,1481.86627833238,1871.88089782845,767.111675180137
"Slc12a6",1846.90539132222,1461.18403988068,1977.71456253656,1234.88856527698,2160.45360134033,1053.86000714201
"Slc30a5",1846.79570120596,1435.5723990877,1785.11527189149,1464.47348163834,1772.04837660631,868.060475188606
"Epas1",1846.41665738137,976.785857530297,1790.04528715846,688.754749084064,1488.42399977933,697.69435852385
"Egln1",1844.37176674672,1211.8328163773,1747.03613648258,1252.28136197102,1740.7748953629,890.601373648988
"Zbtb7a",1844.26611185067,1650.45074587565,2014.20108859821,2087.13560328504,2270.94156464523,1191.44606198324
"Fabp5",1843.99332541158,1173.85819394794,2275.33800529783,1986.2573824596,1410.50017147982,641.473005236402
"Ncoa4",1842.53929071909,1364.3544191853,1625.49295838712,1454.03780362191,2044.07353435628,922.770303328332
"Zdhhc3",1842.06047398295,1419.75312122681,1664.52882572834,1527.08754973689,1831.84799790273,1060.57320962435
"Lrrc59",1841.74975445649,1385.84408446366,1738.29065180361,1600.13729585187,1849.16176973291,982.2073108102
"Eif1b",1840.40859089125,1380.4880063763,1648.0803032363,1784.50094080871,1583.66995237499,785.454787338078
"Mcl1",1840.33891841393,1395.02335180002,1844.2444691551,1680.14416064446,1948.33964403731,985.62371647288
"Chpf",1838.98027564436,1256.19201497191,1730.6206766056,1154.88170048439,2125.99700042879,916.605381533716
"Cyfip1",1838.41459531454,1590.75088065461,1857.5494805281,1586.22305849663,2013.12253983738,1043.86763387265
"Brd1",1837.03307886053,1471.66628084423,1894.7688510287,1467.95204097715,2077.24918412403,969.57663272649
"Pak6",1834.24277686001,1314.04831710001,1559.50631799654,1043.56780164252,1871.89332316672,965.877487733133
"Zhx1",1831.61918722104,831.363207358344,2003.45843632016,1193.14585321128,1791.82623925371,605.77072794494
"Eef1d",1831.61377835816,1505.30277562783,1909.29859947444,1777.54382213109,2071.43587268846,904.867337353626
"Diras1",1830.96916500147,1601.11740491951,1624.04482533178,1450.5592442831,1819.07129977286,1179.70094743216
"Tapt1",1830.06565958788,1602.0472339824,1883.64565754945,1280.10983668149,1890.95401952295,935.783417818252
"Brk1",1829.7159532237,1054.48357741396,2465.88633886331,1756.67246609824,1705.79863344709,733.464637773887
"Epha6",1828.7735200155,1401.04458427246,1798.4722096658,1294.02407403673,1831.89960009095,918.219057198767
"Camk1",1827.73349250883,1463.16602211579,1855.84087098528,1433.16644758906,1989.04186978218,778.599750387569
"C77370",1824.92591290923,1135.21987971844,2018.59092621404,2181.05670543287,1821.24067171507,747.767238603816
"Kansl3",1820.32647470896,1615.67731312256,1910.48119692832,1634.92288923995,2201.22848676254,1056.41314384563
"Fam69b",1819.73188636758,1221.07240001335,1935.88521304599,942.689580817077,2021.69521520591,791.80084382635
"COX2",1818.60046481345,901.613652574028,2123.6335137437,5409.15977184707,1264.32570806757,771.030331837815
"Slc27a1",1817.86161651269,1577.32007290594,1434.5083063647,925.296784123035,1632.28217621004,1027.03628506246
"Mpdz",1817.77989723085,1556.90716540597,1958.0579013762,1554.91602444736,2526.73248072965,1012.47024356666
"Ankrd6",1811.63637421688,1301.79047620468,1662.42988678551,1147.92458180677,2466.34478595513,934.952674680611
"Ypel3",1810.56222578881,1497.59142693508,1456.21495080747,1429.68788825025,1716.55595779352,965.805161232875
"Sqle",1809.62716669476,1256.37333414105,1453.80461693337,1321.85254874719,1917.98235178634,891.56741716599
"Stim2",1808.36267990302,1263.02067973568,1936.16119166594,1384.46661684574,2064.13247415941,894.887905118609
"Zfp236",1807.06756704023,1591.08359968633,2099.13226890506,1586.22305849663,2159.45137527113,1084.78485602337
"Raly",1806.59245157475,1330.82884481147,1912.86212984728,1377.50949816813,1833.88794028407,779.755026739402
"Vps18",1805.8276088596,1504.62312720925,1906.11373611608,1401.85941353979,2230.05300999877,1019.2301150038
"Syngr3",1805.48580668636,1239.50815088398,1392.681284218,1467.95204097715,1938.04555194728,1091.97696026091
"Glo1",1805.13164321911,1446.32973164836,1848.25832018229,1631.44432990114,1647.73649667178,894.276412841876
"Sdhd",1804.95982322746,1463.38946497609,1755.65255698907,1492.3019563488,1676.62687585103,829.179590718958
"Rac1",1804.72396002371,1271.16847288783,1242.35021274184,1353.15958279647,1918.48195014623,1163.22008511116
"Ccm2",1802.87375329753,1171.74346257023,1868.25948415682,1241.8456839546,1886.01033969464,705.669165950241
"Trnp1",1802.03860702527,1017.76849179471,1336.59150944799,692.233308422872,1543.98347275313,823.547230784282
"Smu1",1801.94296427112,1546.54847362801,1957.25601681893,1781.0223814699,1760.05002776396,834.561833202815
"Fam76a",1801.72321903569,1274.05835514747,1587.78232062798,1433.16644758906,1574.85526209507,836.54955970338
"Rab11b",1798.20644453589,1571.26645516307,1372.53022672451,1791.45805948633,1554.77553009737,984.681289160461
"Drd1",1796.58405487383,1095.06019897376,1848.97293731775,1923.64331436105,2047.98052602675,759.383434726298
"Ndufv2",1796.0353488095,1290.63591105632,1826.58985415908,1718.40831337135,1755.51424982496,779.456663094743
"Nmt2",1795.38663169696,1480.89549855054,1877.06401909279,2233.23509551499,1889.70803118483,972.856515873996
"Ttc9b",1794.80126372146,1075.51963423148,1453.12250677479,1273.15271800388,1529.0300612885,759.557034067823
"Jak2",1794.14148283029,1374.36580607724,1914.65664771146,747.890257843806,2323.34009492647,815.055296024263
"Snx19",1791.70889178725,1452.16984204567,1668.30708077096,1836.67933089084,1846.14318690903,1020.12709201257
"Rc3h1",1791.00274090192,1395.00403839282,2185.35472773475,2153.2282307224,1741.29246702536,873.069775087504
"Idh3a",1790.95424335923,1225.54977266133,1550.22852718757,1655.7942452728,1638.97545340741,946.434212005858
"Vstm2a",1787.60762210551,1241.69978499463,1323.5199531333,1568.83026180259,1732.37200656763,1010.42634286199
"Sra1",1787.25040229188,1473.97559474845,1828.02904360832,1554.91602444736,1720.55813784232,823.138372542524
"Dirc2",1785.41874654261,1271.06094004906,1495.04221912407,1840.15789022964,1710.89185910607,980.62760674629
"Vezt",1784.35122142402,1448.70707221324,1866.81990379468,2108.00695931789,1838.11073735141,971.839425347529
"Tmf1",1783.65633097001,1526.94081053398,2011.48432837114,1871.46492427892,1746.33619056301,874.952711673422
"Ube4b",1780.0508557918,1441.51959149317,1723.19586134241,1874.94348361773,1930.32292542938,1005.1886628488
"Gpr37",1778.84529976705,1460.6420754631,1863.13544383943,1391.42373552336,1718.32453649777,1030.67989430578
"Ap1s1",1778.51064746532,936.927523921695,1539.00231580733,1408.8165322174,1581.9283804931,709.960036660306
"Paqr7",1776.54394934592,1360.95175772222,1613.10935400863,1398.38085420098,1939.90078695898,1042.48226842284
"Ccdc85b",1776.1464251937,1148.3401045636,1712.00181354819,1134.01034445154,1370.71664908046,563.550523882918
"Derl1",1774.11971967018,1436.01996728628,1643.81410753483,1120.09610709631,1989.30994565668,945.680455894681
"Snrpd2",1774.05790083188,972.775141489356,2022.63916118168,1391.42373552336,1486.86682033828,523.269525076797
"Cnih2",1773.46101739224,879.536456230371,1337.49268800205,942.689580817077,1844.96728878165,825.400250565377
"Hnrnpab",1771.57740388041,1381.52924206608,1868.26200399474,1450.5592442831,1658.3426074531,850.094364704603
"Ddx23",1771.08669629614,1583.29175542852,1763.61489305305,1627.96577056233,1965.67847160529,1006.22223307978
"Mcm3ap",1769.56359940729,1588.71432974926,1692.97812827632,1499.25907502642,1993.71702337582,933.876868963787
"Usf2",1768.78798100147,1252.03089292119,1568.23989388229,1186.18873453367,1801.40202046928,919.817431380241
"Mcrs1",1768.52327404505,1163.12071032754,1404.44286803588,1179.23161585605,1825.72153600235,862.072041095591
"Rps20",1767.51517506457,854.190562646651,2154.44789954997,1485.34483767119,1396.13273513297,532.190462740621
"Cpt1c",1766.27876029728,1300.93565938888,1372.30131847078,1186.18873453367,1856.43550823271,880.219036921305
"Snx1",1766.26920803315,1485.55521709286,1849.8283976918,1273.15271800388,2014.49919130574,873.71266081963
"Sec16a",1766.17874713546,1400.14377557727,1669.66702793733,1266.19559932626,2127.06642527206,911.547353512329
"Scn3b",1765.88912919292,1301.81613334326,1292.24610554147,1787.97950014752,1935.77551207132,1124.40236037226
"Cox7a2",1765.28992984336,1180.58977755388,2653.33089971031,2448.90577452111,1362.35384311983,528.516238151439
"Vps39",1764.92999594987,1494.75034011728,1836.3254836905,1589.70161783544,2037.73376648729,950.358893927649
"C1ql3",1764.71008446499,1306.05561652417,1348.30012616308,1680.14416064446,1979.55973977771,1118.30201736727
"Exd2",1763.07585792062,1522.33995905683,1646.89661891937,1443.60212560549,1745.94813233703,944.014473220746
"Tle1",1762.46277957203,1483.73770951422,1660.92374417466,1415.77365089502,1951.45983566975,1055.94488062386
"Sh2d5",1761.35165884584,1510.56423375449,1658.60290640743,1777.54382213109,2165.32247082475,1218.96572625247
