"","SAL_WT","SAL_KO","RO_WT","RO_KO","RO_RAP_WT","RO_RAP_KO"
"Cab39",10212.323000349,7095.4402871899,11551.6040878924,5878.7652825862,11261.4693010295,4714.24163617622
"Ppp2ca",10202.1841549141,8688.2018946673,9318.79685048548,8362.4566504954,10484.8479410805,5359.24964716296
"Sort1",10181.408116234,8875.5366494108,8908.80758791845,10397.4138636983,10522.7076323925,6878.09763765316
"Cst3",10133.245816013,4257.14983440325,8328.03133608618,6181.39994506253,8930.34295960518,3689.45591086301
"Arel1",10084.2054716651,7020.60904385797,10457.3506027861,6077.04316489828,10622.5824761355,4880.44901403128
"Scn1a",10075.2542198991,8498.48735867632,12090.9731970425,8421.59215925514,10355.0667671336,5224.40416983247
"Ubl3",10071.5708127165,7030.32100859991,10561.3451111987,5990.07918142807,11174.0230465152,4548.29492783886
"Gnas",10061.4642999691,6835.09148270222,7513.83427897296,7955.46520785482,9548.89899338239,5210.71616994123
"Kcnj4",10040.872900062,6965.75818541363,9780.57790504089,6484.03460753886,9386.68904620612,4577.73639396244
"Pip5k1c",9869.94281711973,8606.4834971031,9230.75875392265,7186.70359397816,10668.8488538977,6104.79928797779
"Phf24",9856.88160873449,8501.2926022889,10866.851423285,9868.67284419944,10635.0045671621,6349.69562428272
"Atp6v1b2",9787.03124103032,8017.08007163941,8245.64474538799,8672.04843164935,10208.0202739378,5619.39259806117
"Pclo",9757.01239241477,8147.40412793303,11094.8290989894,9833.88725081135,10252.7893399229,5288.71988052294
"Adcy5",9732.28880536489,7309.40347264737,10761.8442406998,6835.36910075851,10643.4468133869,4683.30546213238
"Vdac1",9723.75355802743,7901.26804301969,9387.85298166834,8602.47724487318,8995.6125252957,4803.30083570728
"Dock3",9683.19291690646,8618.6017562381,9263.70565322512,9621.69513114404,9447.28247734798,5403.56598021057
"Hpca",9672.61581009328,6414.2900868081,7914.68901080388,7823.2799529801,9378.16913036671,5247.28110888467
"Sirpa",9558.95804180832,7714.49428398686,7562.15192499001,7016.25418637655,10016.9607252217,5613.62794089518
"Sipa1l1",9398.33625030146,7007.73537045024,9958.4077464449,7106.69672918557,10743.4205212398,4772.28267373886
"Mbp",9347.16575896561,7200.16595150095,10250.4571638173,6157.05002969087,9505.54044903475,6208.70861871277
"Tubb4b",9323.00742657186,7291.26419807248,8926.00357325362,7197.13927199458,10466.1522916766,4502.9741201812
"Pten",9277.64418975357,5904.69644871478,10028.4440187345,8536.38461743582,8350.00507172569,3654.14307846441
"Pgk1",9272.49040506785,7052.45432026898,9159.4630525464,7468.46690042164,9803.54493190109,4338.1740477302
"Dlg2",9260.76648167269,7595.54938519999,10189.9709609989,8759.01241511956,10096.8408930759,5018.74038794145
"Dnajc6",9245.26663564812,7441.09630625988,8072.95605503408,7833.71563099652,9676.57779827804,5164.2143043089
"Pink1",9189.33833429221,5846.78858213576,7936.55956673054,4796.93332821679,8807.64812797453,4187.59116637585
"Usp34",9185.41476676266,8126.8656321431,11512.6021955011,8132.87173413404,8830.04416126097,4294.97092004374
"Nfe2l1",9180.98103517265,7287.8661388974,7954.64789033256,7235.40342472148,8776.59226062213,5069.03175540023
"Fam171b",9165.63848417935,4444.56312130233,9173.99037200508,5433.50968721873,8631.91331984842,3434.93090569302
"Pi4ka",9147.45007815742,7552.61936588054,9112.00574682917,7378.02435761262,10068.9688224264,4802.47561414226
"Pam",9001.36030026206,7672.74465542049,8018.78742744473,6637.09121844643,9774.32545809088,4957.62193984798
"Itm2b",8978.30213855293,6819.8204513269,7240.59096557296,6984.94715232727,9027.44825581433,4450.84414408484
"Ap2m1",8953.44695836009,6013.7222859007,7333.94686506504,7155.39655992888,8472.54772383461,4142.41961610316
"Kifc2",8948.77989612726,7448.44034837327,7484.77800882546,5753.5371463891,8318.9127383897,5196.09684689407
"Map2k1",8943.70671226385,7983.70663163714,6541.72486510917,8539.86317677463,9342.07872980413,5165.9731736594
