"","SAL_WT1","SAL_WT2","SAL_WT3","SAL_KO1","SAL_KO2","SAL_KO3","RO_WT1","RO_WT2","RO_WT3","RO_KO2","RO_RAP_WT1","RO_RAP_WT2","RO_RAP_WT3","RO_RAP_KO1","RO_RAP_KO2","RO_RAP_KO3"
"Ptp4a2",3105.49811242921,2806.71588825404,3071.85234741792,2695.6939365875,2094.98374149988,1964.88822655708,2881.25534013229,2581.53625634534,2725.82238614404,2904.59704790502,3011.7419573244,3052.54998001506,3084.94288802343,1852.38517346537,1467.16873796281,1663.10883912483
"Adgrb2",11125.3722620514,13940.4343912342,10258.4512164903,8031.64668815882,5613.23106007913,8881.81238377349,11431.3042806308,13381.3669250076,11904.5033679466,5889.20096060262,16516.4786811235,11890.5034613371,12900.2293999291,5119.48869603577,6920.67614078511,5104.69692777271
"Col16a1",346.315089869305,241.517696111141,293.219521452015,237.855347345955,429.238221658855,474.798218879295,274.612838772064,337.336897347161,288.470294854059,309.591781153948,269.616777461391,327.964470586667,248.707499842895,179.639368207598,177.854439973451,185.036388984807
"Pef1",959.581394846198,792.969364023608,773.253129767273,580.134993526721,441.28701384577,478.779755305956,669.096361135109,687.803673932386,703.867519443903,685.276189745255,710.195102449437,758.452288281098,926.937701364326,361.14511946151,306.159989045208,412.671083347411
"Hcrtr1",58.7498813171142,41.214623909751,37.4837326392267,21.916210866565,19.5792873037372,33.8430596266165,45.7688064620107,51.5095262416324,27.515628124541,27.8284747104672,48.4084668623861,38.5840553631373,45.7233843722313,25.6627668867998,15.6470181794825,18.1930262551009
"Tinagl1",82.4559737784059,103.860852252572,136.029674900419,65.748632599695,90.3659414018642,77.6399603198848,102.434947795929,82.8192382708599,102.074104332975,59.1355087597428,107.846710984556,138.351398516392,123.314582094806,43.8600015883487,49.5488909016946,73.6595697157744
"Serinc2",6.18419803338044,32.9716991278008,48.3661066312602,19.3378331175574,64.7622580046693,32.8476755199513,45.7688064620107,48.4795541097717,23.965224495568,41.7427120657008,56.9871825088849,47.4032680175686,63.0428481495917,18.6638304631271,13.5607490888848,21.2991526888986
"Fabp3",2044.90814970447,1302.38211554813,1817.3564566696,1642.42662611787,1313.31834837376,1293.99933866475,1623.70289591419,1817.98327911644,1574.60400944954,1530.5661090757,1272.10097729511,1571.47345486149,1416.03935843698,857.603009780691,553.382876281031,824.010969651766
"Zcchc17",2226.31129201696,1541.42693422469,1944.92206290955,1553.47259377711,1525.67831066814,1592.6145706643,2236.13311571538,1995.7416441856,2063.67210934057,1631.44432990114,1613.4113069451,2014.08768995576,1804.68812560095,892.131096137476,641.006178086134,958.905603348124
"Snrnp40",541.117327920789,370.931615187759,401.43868503946,421.56476196275,364.475963654186,316.53214591953,442.431795799437,406.016265669338,439.362449085412,313.070340492756,394.620919738945,449.228644585098,453.077172415747,251.02851972906,184.113247245244,276.445252607997
"Nkain1",347.345789541535,383.296002360684,353.67715474109,210.782380981375,233.445348621482,207.039894186359,292.048574567116,292.89730607987,285.807492132329,375.684408591307,273.293369881319,316.940454768627,301.35866972607,175.440006353395,136.650625434147,110.045622225976
"Pum1",2377.82414383478,3030.92344232309,2403.19092324074,2290.88862999329,1923.28845283634,2306.30497514324,2571.77102977012,2589.6161820303,2384.98363776263,2848.94009848408,3189.44392428759,2835.37686839969,2839.00650238491,1276.60600367789,1627.81145793883,1388.43851590758
"Sdc3",3790.91339446221,4005.2371515496,3068.82946575346,3291.29919660826,2610.06960749051,3100.62149226207,2632.79610505281,2846.15382252785,3018.73068553432,3224.62450707539,3690.07325880113,3419.64970675577,3434.10327777501,2018.02666882562,2485.78962144712,2003.00781745184
"Laptm5",343.222990852614,365.985860318588,389.347158381645,281.687769079085,200.311170107466,231.924496852989,161.280556104228,215.128021362112,218.349823181841,194.799322973271,326.603959970276,345.051695104628,480.788314459523,234.697668073823,202.889669060623,210.772865150559
"Ptpru",666.862687932858,985.029511443048,655.360744853576,630.41335963237,649.128679070058,854.039563518733,666.916894160727,835.262317682941,716.293932145309,758.325935860232,1120.13515727142,895.150084424784,966.426078776708,401.272354957233,595.108258092985,488.549314801612
"Mecr",310.240601341252,241.517696111141,312.565964104519,244.301291718475,256.036833971949,290.652159146235,302.945909439023,249.4677055232,263.617469451248,173.92796694042,255.523173185,300.404431041569,238.315821576478,135.77936661925,143.43099997859,144.213012997751
"Srsf4",208.201333790475,282.732320020892,222.484090503797,207.559408795116,313.268596859796,256.809099519619,233.202966258816,245.427742680719,179.295383263138,250.456272394205,242.042334311931,189.613072070275,317.292576401242,135.77936661925,194.544592698233,150.425265865347
